"","X1991","X1992","X1993","X1994","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","avgc"
"´óËâ",0.0243676193182653,0.0259061767793906,0.0273490464488088,0.0236259292213197,NA,NA,NA,NA,NA,NA,NA,0.0287901866106014,0.0284501686198236,0.0293012637930372,0.0314099106497771,NA,0.0308607224636586,0.028953246330176,0.0279014270234858
"ºúÂÜ²·",0.0148586848410315,0.0133125107513806,0.0176633629181307,0.0146046229059633,NA,NA,NA,NA,NA,NA,NA,0.0242891751785506,0.024151588949,0.0235848513475906,0.0247404481810198,NA,0.0249272666349878,0.0243546944130425,0.0206487206120697
"ÆäËû",0.0820655864613395,0.0780973763665375,0.0984606088916871,0.0753787683093673,NA,NA,NA,NA,NA,NA,NA,0.0504179907203654,NA,0.0477719897207319,0.0492408642937554,NA,0.0409822021645719,0.0417234072115581,0.0626820882377682
"Þ¬ÇÑ",0.0410403778595472,0.0453894580117805,0.0517014643459187,0.0518683447662237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0474999112458675
"¿à¹Ï",NA,0.00144156053694619,0.00260641895322623,0.0025063005271567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00218476000577638
"Üú°×",NA,0.00173550713891674,0.000935180859922416,0.00301491059384059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00189519953089325
"ÄÏ¹Ï",0.00791048864020539,0.00871794309034719,0.011300769746329,0.00843975488648431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00909223909084147
"Þ³²Ë",NA,0.00811413962261913,0.00882836078558807,0.00710137960066206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00801462666962308
"ÂíÁåÊí",0.045969896666781,0.0790838933937586,0.0645927351382091,0.0678294729389704,NA,NA,NA,NA,NA,NA,NA,NA,0.026230961033112,NA,NA,NA,NA,NA,0.0567413918341662
"²¤²Ë",0.0157109952620568,0.0173608964130428,0.0167630745171314,0.0154988327927824,NA,NA,NA,NA,NA,NA,NA,0.0291288729149046,0.02846469698373,0.0286600052540686,0.0278951553641852,NA,0.0280687065488303,0.0283677114043926,0.0235918947455125
"ÇÛ²Ë",0.0265934286148253,0.0300467366223166,0.0309550541259622,0.0295156281392612,NA,NA,NA,NA,NA,NA,NA,0.0332301234631878,0.0348444647841539,0.0345659609693207,0.0354561655151414,NA,0.0333556435773928,0.0336666407327533,0.0322229846544315
"ÇÑ×Ó",0.028355801408154,0.0331186418559404,0.033151816723196,0.036302985945677,NA,NA,NA,NA,NA,NA,NA,0.0392209844852061,NA,0.0400946015773897,0.0385251469596338,NA,0.0400436526792971,0.0418689821931065,0.0367425126475112
"Êß²Ë",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ËŠÍ·",NA,0.000129870746160645,0.000130567459430916,0.000102130631535643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000120856279042401
"¶¬¹Ï",NA,0.0102214280206189,0.00974070312976014,0.012676697951647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0108796097006754
"¸ÊÀ¶",0.0425718310411226,0.0526100971035039,0.0520025590511201,0.0421133530419142,NA,NA,NA,NA,NA,NA,NA,0.0532126154170746,0.0516810225062517,0.0528914294379121,0.0527504760350269,NA,NA,NA,0.0499791729542408
"°×²Ë",0.211503941753186,0.196324718387975,0.182967280703536,0.181311098992566,0.211730907654774,0.236736529117412,0.209707552194983,0.208020470657326,0.202694001353841,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.204555166757289
"Ñó´Ð",0.00887473603237676,0.00842178630110984,0.00692324877632675,0.0144642662380529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00967100933696655
"Óó",NA,0.00354876826251757,0.004503823344233,0.00531852319585163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00445703826753407
"»¨Ò¬²Ë",0.0121817665129816,0.0117807252214043,0.0241961583768304,0.0110596328080901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0148045707298266
"½ðÕë²Ë",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ÜÈ²Ë",NA,0.000174229904557399,0.000176021081706846,0.000329080680807095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00022644388902378
"´ó´Ð",0.0276175886955712,0.0265854682856516,0.0282990484798018,0.0269316179214144,NA,NA,NA,NA,NA,NA,NA,0.0326249299030395,0.0343541325023109,0.0341000742407331,0.0335359089688668,NA,0.0326416032315812,0.0335695907450544,0.0310259962974025
"½ª",NA,0.0020249313394589,0.00515648800698662,0.00465335141547793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00394492358730782
"½æ²Ë",0.0161766708966815,0.0203350634405604,0.0187671009606597,0.0168129502597514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0180229463894133
"Ë¿¹Ï",NA,0.00151326646221742,0.00174173385868351,0.00190062378615233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00171854136901775
"Â«Ëñ",0.0024722969960362,0.00194587354596845,0.0016463178097772,0.00179311634759814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001964401174845
"²ÝÝ®",NA,0.000501164411595475,0.00135320693787193,0.0014153597772739,NA,NA,NA,NA,NA,NA,NA,NA,0.00337512962024673,NA,NA,NA,NA,NA,0.00166121518674701
"¾Â²Ë",0.0183846553354532,0.0186790008482469,0.019691476938075,0.0226540426508998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0198522939431687
